Write to file (w) or plot (p):         131232 function calls (128634 primitive calls) in 4408.874 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        7    0.000    0.000    0.004    0.001 pyparsing.py:1606(__init__)
        2    0.000    0.000    0.003    0.002 __init__.py:616(_get_cachedir)
16097/15667    0.003    0.000    0.003    0.000 {len}
        1    0.000    0.000    0.003    0.003 pyparsing.py:3375(makeHTMLTags)
        1    0.000    0.000    0.003    0.003 pyparsing.py:3346(_makeTags)
        1    0.000    0.000    0.003    0.003 fontconfig_pattern.py:7(<module>)
        1    0.002    0.002    0.003    0.003 main.py:1(<module>)
      200    0.001    0.000    0.003    0.000 pkg_resources.py:547(add)
     7302    0.003    0.000    0.003    0.000 {isinstance}
        1    0.000    0.000    0.003    0.003 _internal.py:6(<module>)
    13116    0.003    0.000    0.003    0.000 {method 'append' of 'list' objects}
        1    0.001    0.001    0.003    0.003 tempfile.py:18(<module>)
        1    0.001    0.001    0.003    0.003 mlab.py:142(<module>)
        1    0.001    0.001    0.003    0.003 pyplot.py:2057(_setup_pyplot_info_docstrings)
        1    0.000    0.000    0.003    0.003 axes.py:331(Axes)
       24    0.003    0.000    0.003    0.000 {posix.listdir}
       26    0.000    0.000    0.003    0.000 posixpath.py:379(realpath)
      400    0.000    0.000    0.003    0.000 re.py:144(sub)
        1    0.003    0.003    0.003    0.003 backend_agg.py:21(<module>)
        1    0.001    0.001    0.003    0.003 core.py:21(<module>)
        1    0.002    0.002    0.003    0.003 mathtext.py:19(<module>)
     8071    0.003    0.000    0.003    0.000 {method 'startswith' of 'str' objects}
       10    0.001    0.000    0.003    0.000 colors.py:742(from_list)
        1    0.001    0.001    0.003    0.003 sysconfig.py:10(<module>)
        1    0.001    0.001    0.002    0.002 random.py:40(<module>)
        2    0.000    0.000    0.002    0.001 pkg_resources.py:1895(declare_namespace)
        1    0.000    0.000    0.002    0.002 urlparse.py:29(<module>)
       14    0.000    0.000    0.002    0.000 pkg_resources.py:1868(_handle_ns)
        1    0.002    0.002    0.002    0.002 _datasource.py:33(<module>)
       26    0.000    0.000    0.002    0.000 posixpath.py:387(_joinrealpath)
        1    0.002    0.002    0.002    0.002 rrule.py:6(<module>)
      100    0.001    0.000    0.002    0.000 pkg_resources.py:2381(insert_on)
        1    0.000    0.000    0.002    0.002 fontconfig_pattern.py:70(__init__)
        1    0.000    0.000    0.002    0.002 __init__.py:870(rc_params)
       12    0.000    0.000    0.002    0.000 pkgutil.py:176(find_module)
       60    0.002    0.000    0.002    0.000 sre_compile.py:258(_mk_bitmap)
     1326    0.000    0.000    0.002    0.000 pkg_resources.py:1966(_normalize_cached)
     3955    0.002    0.000    0.002    0.000 {getattr}
     2682    0.001    0.000    0.002    0.000 sre_parse.py:195(match)
        2    0.000    0.000    0.002    0.001 pyparsing.py:3264(srange)
        1    0.001    0.001    0.002    0.002 afm.py:34(<module>)
        1    0.001    0.001    0.002    0.002 axis.py:3(<module>)
        3    0.002    0.001    0.002    0.001 {method 'write' of 'file' objects}
        1    0.002    0.002    0.002    0.002 Image.py:447(Image)
      400    0.002    0.000    0.002    0.000 {method 'search' of '_sre.SRE_Pattern' objects}
        1    0.000    0.000    0.002    0.002 version.py:27(<module>)
        1    0.001    0.001    0.002    0.002 collections.py:1(<module>)
        2    0.001    0.001    0.002    0.001 function_base.py:1(<module>)
        1    0.002    0.002    0.002    0.002 tzwin.py:2(<module>)
        1    0.001    0.001    0.002    0.002 pickle.py:25(<module>)
      200    0.000    0.000    0.002    0.000 pkg_resources.py:1133(safe_name)
      666    0.001    0.000    0.002    0.000 string.py:158(convert)
       65    0.000    0.000    0.002    0.000 pyparsing.py:746(copy)
       96    0.000    0.000    0.002    0.000 posixpath.py:139(islink)
        1    0.000    0.000    0.002    0.002 offsetbox.py:15(<module>)
     1564    0.002    0.000    0.002    0.000 {method 'group' of '_sre.SRE_Match' objects}
        2    0.000    0.000    0.002    0.001 pyparsing.py:1000(parseString)
        1    0.001    0.001    0.002    0.002 triinterpolate.py:3(<module>)
      600    0.001    0.000    0.002    0.000 pkg_resources.py:2240(key)
     1453    0.001    0.000    0.002    0.000 artist.py:973(is_alias)
       14    0.000    0.000    0.002    0.000 pkg_resources.py:1962(normalize_path)
       65    0.000    0.000    0.002    0.000 copy.py:66(copy)
        1    0.000    0.000    0.002    0.002 zipfile.py:3(<module>)
       26    0.002    0.000    0.002    0.000 {dir}
    102/2    0.000    0.000    0.002    0.001 pyparsing.py:873(_parseNoCache)
     10/2    0.000    0.000    0.002    0.001 pyparsing.py:2268(parseImpl)
        6    0.000    0.000    0.002    0.000 patches.py:1610(_pprint_styles)
        1    0.000    0.000    0.002    0.002 table.py:21(<module>)
        4    0.000    0.000    0.002    0.000 warnings.py:45(filterwarnings)
       96    0.002    0.000    0.002    0.000 {posix.lstat}
        1    0.001    0.001    0.002    0.002 hashlib.py:55(<module>)
       75    0.000    0.000    0.001    0.000 docstring.py:117(<lambda>)
       71    0.000    0.000    0.001    0.000 cm.py:48(_reverse_cmap_spec)
        1    0.000    0.000    0.001    0.001 format.py:136(<module>)
        1    0.001    0.001    0.001    0.001 offsetbox.py:1542(DraggableOffsetBox)
     16/2    0.000    0.000    0.001    0.001 pyparsing.py:2541(parseImpl)
        1    0.000    0.000    0.001    0.001 numerictypes.py:82(<module>)
        2    0.000    0.000    0.001    0.001 pyparsing.py:2683(parseImpl)
        1    0.001    0.001    0.001    0.001 tz.py:475(tzrange)
       66    0.001    0.000    0.001    0.000 cm.py:31(revcmap)
        4    0.000    0.000    0.001    0.000 pyparsing.py:2924(__init__)
        1    0.000    0.000    0.001    0.001 util.py:1(<module>)
        3    0.000    0.000    0.001    0.000 tempfile.py:472(TemporaryFile)
      196    0.000    0.000    0.001    0.000 pkg_resources.py:1141(safe_version)
  504/495    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
      8/4    0.000    0.000    0.001    0.000 pyparsing.py:2547(leaveWhitespace)
       28    0.000    0.000    0.001    0.000 pkg_resources.py:1771(find_distributions)
     20/8    0.000    0.000    0.001    0.000 pyparsing.py:2393(parseImpl)
      638    0.001    0.000    0.001    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
        1    0.001    0.001    0.001    0.001 arrayprint.py:5(<module>)
        1    0.001    0.001    0.001    0.001 runner.py:1(<module>)
       14    0.000    0.000    0.001    0.000 cbook.py:164(deprecate)
        1    0.001    0.001    0.001    0.001 geo.py:1(<module>)
        1    0.000    0.000    0.001    0.001 colors.py:48(<module>)
        1    0.000    0.000    0.001    0.001 __init__.py:702(matplotlib_fname)
        1    0.000    0.000    0.001    0.001 pyplot.py:1743(get_plot_commands)
       29    0.000    0.000    0.001    0.000 pkg_resources.py:2692(_find_adapter)
     1239    0.001    0.000    0.001    0.000 sre_parse.py:138(append)
       50    0.000    0.000    0.001    0.000 pyplot.py:2371(<lambda>)
